"","Gravedad_victima","Fecha_incidente","Hora_incidente","Clase_incidente","Direccion_incidente","Sexo","Edad","Condicion","Mes","Dia","Num_dia","Hora","Grupo_edad","Año","Radicado","Latitud","Longitud","Comuna","Barrio"
"2353","Muertos","1/02/2014","12:20:00","Choque","CR 53 CL 95","F","17","Motociclista","Feb","Sáb",1,"12","10 - 19",2014,1427410,"6,287420734","-75,56346146","04 - Aranjuez","San Isidro"
"2432","Muertos","2/02/2014","03:50:00","Choque","VIA PALMAS KM 9 +350 MTS","M","16","Motociclista","Feb","Dom",2,"3","10 - 19",2014,5711,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"2433","Muertos","2/02/2014","03:50:00","Choque","VIA PALMAS KM 9 +350 MTS","F","16","Acompañante de Motocicleta","Feb","Dom",2,"3","10 - 19",2014,5711,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"2457","Muertos","2/02/2014","15:05:00","Atropello","CL 85 CR 50 A - 56","M","6","Peatón","Feb","Dom",2,"15","0 - 9",2014,5739,"6,278090672","-75,55926778","04 - Aranjuez","Brasilia"
"2574","Muertos","3/02/2014","22:30:00","Otro","CR 45 CL 69 - 45","M","45","Peatón","Feb","Lun",3,"22","40 - 49",2014,6149,"6,26434693","-75,5553413","03 - Manrique","Manrique Central No. 2"
"2664","Muertos","5/02/2014","09:30:00","Atropello","CR 57 CL 51 - 157","M","38","Peatón","Feb","Mié",5,"9","30 - 39",2014,6612,"6,254322212","-75,57480538","10 - La Candelaria","San Benito"
"2777","Muertos","6/02/2014","16:30:00","Atropello","CL 48 CR 95 - 71","M","82","Peatón","Feb","Jue",6,"16","80 o más",2014,8322,"6,258203958","-75,6112464","13 - San Javier","San Javier No.2"
"2823","Muertos","6/02/2014","23:20:00","Atropello","CR 57 CL 46","M","46","Peatón","Feb","Jue",6,"23","40 - 49",2014,6596,"6,249125105","-75,57519872","10 - La Candelaria","Guayaquil"
"2930","Muertos","7/02/2014","21:50:00","Choque","CL 48 CR 40","M","20","Ciclista","Feb","Vie",7,"21","20 - 29",2014,6850,"6,24419497","-75,56146889","10 - La Candelaria","Bomboná No. 1"
"2942","Muertos","8/02/2014","08:05:00","Atropello","CL 33 CR 51","M","88","Peatón","Feb","Sáb",8,"8","80 o más",2014,6884,"6,234706635","-75,57457373","10 - La Candelaria","Perpetuo Socorro"
"3090","Muertos","10/02/2014","05:45:00","Choque","CR 41 CL 71","F","22","Acompañante de Motocicleta","Feb","Lun",10,"5","20 - 29",2014,7024,"6,26593552","-75,5511642","03 - Manrique","Manrique Oriental"
"3218","Muertos","11/02/2014","15:30:00","Atropello","CR 46 CL 57","M","64","Peatón","Feb","Mar",11,"15","60 - 69",2014,11484,"6,253392124","-75,56228373","10 - La Candelaria","Villa Nueva"
"3647","Muertos","16/02/2014","13:00:00","Choque","CR 64 C CL 104","M","24","Motociclista","Feb","Dom",16,"13","20 - 29",2014,13009,"6,301392047","-75,56381452","05 - Castilla","Las Brisas"
"4094","Muertos","21/02/2014","14:20:00","Choque","CR 64 AA CL 120 - 12","M","44","Motociclista","Feb","Vie",21,"14","40 - 49",2014,9310,"6,311045503","-75,55869133","05 - Castilla","Toscana"
"4138","Muertos","22/02/2014","02:00:00","Choque","CR 49 CL 100","M","28","Motociclista","Feb","Sáb",22,"2","20 - 29",2014,1430240,"6,291846961","-75,55595338","02 - Santa Cruz","Santa Cruz"
"4241","Muertos","22/02/2014","23:01:00","Otro","CR 43A CL 23 - 37","F","17","Peatón","Feb","Sáb",22,"23","10 - 19",2014,9691,"6,22338277","-75,56979441","14 - El Poblado","Barrio Colombia"
"4336","Muertos","24/02/2014","03:03:00","Choque","CR 39 CL 85 A - 35","M","23","Motociclista","Feb","Lun",24,"3","20 - 29",2014,9766,"6,277410574","-75,5475983","03 - Manrique","Las Granjas"
"4342","Muertos","24/02/2014","07:15:00","Atropello","CL 33 CR 78 - 177","M","70","Peatón","Feb","Lun",24,"7","70 - 79",2014,9780,"6,238712386","-75,600006","16 - Belén","El Nogal-Los Almendros"
"4344","Muertos","24/02/2014","07:30:00","Atropello","CL 25 CR 65 C - 50","M","28","Peatón","Feb","Lun",24,"7","20 - 29",2014,9778,"6,226359331","-75,58554189","15 - Guayabal","Trinidad"
"4390","Muertos","24/02/2014","20:00:00","Atropello","CL 106 CR 42 A","M","33","Peatón","Feb","Lun",24,"20","30 - 39",2014,50016000206201413632,"6,294454987","-75,5495861","02 - Santa Cruz","Villa del Socorro"
"4396","Muertos","24/02/2014","21:15:00","Choque","CR 87 CL 49DD","F","26","Motociclista","Feb","Lun",24,"21","20 - 29",2014,10014,"6,261460193","-75,60531785","13 - San Javier","Los Alcázares"
"4759","Muertos","28/02/2014","21:45:00","Choque","KM 1 + 800 Via San Cristobal","M","26","Acompañante de Motocicleta","Feb","Vie",28,"21","20 - 29",2014,10688,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"4760","Muertos","28/02/2014","21:45:00","Choque","KM 1 + 800 Via San Cristobal","M","16","Ciclista","Feb","Vie",28,"21","10 - 19",2014,10688,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"4871","Muertos","1/03/2014","21:45:00","Atropello","CL 58 CR 57","M","24","Peatón","Mar","Sáb",1,"21","20 - 29",2014,10788,"6,258269603","-75,57181765","10 - La Candelaria","El Chagualo"
"5223","Muertos","5/03/2014","23:10:00","Choque","CR 52 CL 7 - 72","M","47","Motociclista","Mar","Mié",5,"23","40 - 49",2014,11477,"6,212904258","-75,58101926","15 - Guayabal","Campo Amor"
"5309","Muertos","6/03/2014","19:10:00","Atropello","CL 50 CR 59","M","60","Peatón","Mar","Jue",6,"19","60 - 69",2014,11701,"6,251750713","-75,57608351","10 - La Candelaria","Corazón de Jesús"
"5387","Muertos","7/03/2014","17:35:00","Choque","CR 70 CL 48","M","20","Motociclista","Mar","Vie",7,"17","20 - 29",2014,11882,"6,254065935","-75,58839154","11 - Laureles Estadio","Suramericana"
"5433","Muertos","8/03/2014","07:00:00","Choque","CL 98 CR 50 AA","M","30","Acompañante de Motocicleta","Mar","Sáb",8,"7","30 - 39",2014,13347,"6,290475204","-75,55900951","02 - Santa Cruz","La Rosa"
"5464","Muertos","8/03/2014","14:27:00","Atropello","CR 65 CL 32 D","M","47","Peatón","Mar","Sáb",8,"14","40 - 49",2014,11954,"6,237651175","-75,58283652","16 - Belén","Fátima"
"5477","Muertos","8/03/2014","17:07:00","Atropello","CL 52 CR 49 - 123","M","78","Peatón","Mar","Sáb",8,"17","70 - 79",2014,11970,"6,250644815","-75,56732132","10 - La Candelaria","La Candelaria"
"5583","Muertos","10/03/2014","06:24:00","Choque","CR 64 C CL 93 - 60","M","38","Motociclista","Mar","Lun",10,"6","30 - 39",2014,12051,"6,287519978","-75,56967972","05 - Castilla","Oleoducto"
"5700","Muertos","11/03/2014","10:30:00","Choque","CL 46 CR 1B - 146","M","19","Motociclista","Mar","Mar",11,"10","10 - 19",2014,12384,"6,228121379","-75,52990151","09 - Buenos Aires","Ocho de Marzo"
"5829","Muertos","12/03/2014","16:50:00","Atropello","CR 80 CL 49 - 19","M","84","Peatón","Mar","Mié",12,"16","80 o más",2014,12884,"6,260895453","-75,59722294","11 - Laureles Estadio","El Estadio"
"5846","Muertos","12/03/2014","18:50:00","Atropello","CL 44 CR 70","M","81","Peatón","Mar","Mié",12,"18","80 o más",2014,1432642,"6,249279617","-75,58877691","11 - Laureles Estadio","Florida Nueva"
"5847","Muertos","12/03/2014","19:00:00","Choque","CR 29 CL 43 - 48","M","40","Peatón","Mar","Mié",12,"19","40 - 49",2014,12874,"6,236533146","-75,55378577","09 - Buenos Aires","La Milagrosa"
"5865","Muertos","13/03/2014","06:40:00","Atropello","CL 67 CR 51","M","73","Peatón","Mar","Jue",13,"6","70 - 79",2014,13125,"6,264078693","-75,56314739","04 - Aranjuez","San Pedro"
"6234","Muertos","17/03/2014","10:13:00","Choque","CL 56 CR B 20 - 23","M","34","Ciclista","Mar","Lun",17,"10","30 - 39",2014,19763,"6,241539027","-75,54208634","08 - Villa Hermosa","La Libertad"
"6297","Muertos","17/03/2014","21:00:00","Choque","CR 64 B CL 44","M","19","Motociclista","Mar","Lun",17,"21","10 - 19",2014,13818,"6,248491265","-75,58248409","11 - Laureles Estadio","Naranjal"
"6589","Muertos","20/03/2014","22:54:00","Atropello","CR 64 C CL 78 - 470","M","60","Peatón","Mar","Jue",20,"22","60 - 69",2014,14605,"6,279780229","-75,57186112","05 - Castilla","Terminal de Transporte"
"6735","Muertos","22/03/2014","16:30:00","Caida Ocupante","CR 25 CL 56 B - 55","F","42","Pasajero","Mar","Sáb",22,"16","40 - 49",2014,15336,"6,244290966","-75,54472712","08 - Villa Hermosa","El Pinal"
"7007","Muertos","25/03/2014","10:30:00","Atropello","CR 80 CL 49 - 16","F","86","Peatón","Mar","Mar",25,"10","80 o más",2014,15291,"6,261071299","-75,59708743","11 - Laureles Estadio","El Estadio"
"7248","Muertos","28/03/2014","02:40:00","Atropello","CR 43A CL 16 Sur","M","59","Peatón","Mar","Vie",28,"2","60 - 69",2014,15918,"6,190350503","-75,57693632","14 - El Poblado","El Diamante No. 2"
"7250","Muertos","28/03/2014","03:45:00","Choque","CR 43C CL 4 Sur - 199","M","25","Motociclista","Mar","Vie",28,"3","20 - 29",2014,15915,"6,199908026","-75,57190315","14 - El Poblado","Alejandría"
"7276","Muertos","28/03/2014","09:50:00","Choque","CR 74 CL 107A","M","32","Motociclista","Mar","Vie",28,"9","30 - 39",2014,16010,"6,306205248","-75,57052496","05 - Castilla","Tejelo"
"7277","Muertos","28/03/2014","09:50:00","Choque","CR 63 CL 112 - 90","M","23","Motociclista","Mar","Vie",28,"9","20 - 29",2014,16143,"6,30781787","-75,55799799","05 - Castilla","Toscana"
"7449","Muertos","30/03/2014","00:40:00","Choque","CL 40 CR 21 - 05","M","19","Motociclista","Mar","Dom",30,"0","10 - 19",2014,16351,"6,231463174","-75,55089931","09 - Buenos Aires","Cataluña"
"7469","Muertos","30/03/2014","07:30:00","Choque","CR 49 CL 17 - 81","M","44","Motociclista","Mar","Dom",30,"7","40 - 49",2014,80149,"6,218636156","-75,57565497","14 - El Poblado","Villa Carlota"
"7480","Muertos","30/03/2014","11:25:00","Choque","CR 43 CL 63","M","36","Motociclista","Mar","Dom",30,"11","30 - 39",2014,80233,"6,25648672","-75,5571936","08 - Villa Hermosa","San Miguel"
"7697","Muertos","1/04/2014","15:00:00","Choque","CL 37 CR 90","M","32","Motociclista","Abr","Mar",1,"15","30 - 39",2014,16724,"6,248650116","-75,61180398","12 - La América","Santa Mónica"
"7910","Muertos","3/04/2014","21:00:00","Choque","CL 54 CR 57","M","68","Peatón","Abr","Jue",3,"21","60 - 69",2014,18835,"6,25571772","-75,57366236","10 - La Candelaria","San Benito"
"8130","Muertos","6/04/2014","01:10:00","Choque","CR 62 CL 41","M","19","Conductor","Abr","Dom",6,"1","10 - 19",2014,80222,"6,242086223","-75,57769384","10 - La Candelaria","La Alpujarra"
"8310","Muertos","8/04/2014","04:30:00","Atropello","CL 44B CR 90A 80","M","70","Peatón","Abr","Mar",8,"4","70 - 79",2014,50016000206201421824,"6,254299388","-75,60793638","12 - La América","El Danubio"
"8530","Muertos","10/04/2014","11:34:00","Choque","CR 65 CL 2A Sur","F","67","Peatón","Abr","Jue",10,"11","60 - 69",2014,18455,"6,207435265","-75,5891435","15 - Guayabal","Cristo Rey"
"8755","Muertos","12/04/2014","19:07:00","Choque","CR 36 CL 56","F","18","Motociclista","Abr","Sáb",12,"19","10 - 19",2014,18856,"6,247638942","-75,55463765","08 - Villa Hermosa","Sucre"
"8756","Muertos","12/04/2014","19:07:00","Choque","CR 36 CL 56","F","18","Acompañante de Motocicleta","Abr","Sáb",12,"19","10 - 19",2014,18856,"6,247638942","-75,55463765","08 - Villa Hermosa","Sucre"
"8851","Muertos","14/04/2014","01:20:00","Choque","CR 46 CL 84","M","25","Motociclista","Abr","Lun",14,"1","20 - 29",2014,18910,"6,276366944","-75,5545041","04 - Aranjuez","Campo Valdés No. 1"
"9061","Muertos","16/04/2014","14:07:00","Atropello","CR 46 CL 50 - 63","M","60","Peatón","Abr","Mié",16,"14","60 - 69",2014,19399,"6,24834881","-75,56520664","10 - La Candelaria","La Candelaria"
"9099","Muertos","16/04/2014","19:40:00","Choque","CL 63 CR 50","M","25","Motociclista","Abr","Mié",16,"19","20 - 29",2014,19413,"6,259568846","-75,5617663","10 - La Candelaria","Prado"
"9389","Muertos","21/04/2014","19:25:00","Atropello","CL 95 CR 50A - 26","M","74","Peatón","Abr","Lun",21,"19","70 - 79",2014,21177,"6,287194676","-75,55778205","04 - Aranjuez","San Isidro"
"9398","Muertos","21/04/2014","21:30:00","Choque","Cr 80 CL 30","M","36","Motociclista","Abr","Lun",21,"21","30 - 39",2014,19767,"6,231171584","-75,60068811","16 - Belén","Belén"
"9469","Muertos","22/04/2014","18:35:00","Atropello","CL 52 CR 50 - 51","F","62","Peatón","Abr","Mar",22,"18","60 - 69",2014,20228,"6,250916752","-75,56733668","10 - La Candelaria","La Candelaria"
"9483","Muertos","22/04/2014","22:39:00","Atropello","CL 58 CR 55","M","55","Peatón","Abr","Mar",22,"22","50 - 59",2014,20844,"6,258228575","-75,57049508","10 - La Candelaria","Jesús Nazareno"
"9577","Muertos","24/04/2014","01:50:00","Choque","CR 64 C CL 103 - 44","M","34","Motociclista","Abr","Jue",24,"1","30 - 39",2014,20241,"6,297344721","-75,56655734","05 - Castilla","Belalcázar"
"9653","Muertos","24/04/2014","15:45:00","Choque","CL 29 CR 48 Y 49","M","70","Acompañante de Motocicleta","Abr","Jue",24,"15","70 - 79",2014,20544,"6,231052291","-75,57452624","10 - La Candelaria","Perpetuo Socorro"
"9743","Muertos","25/04/2014","16:00:00","Atropello","CR 46 CL 50 Y 51","M","51","Peatón","Abr","Vie",25,"16","50 - 59",2014,20842,"6,24834881","-75,56520664","10 - La Candelaria","La Candelaria"
"9763","Muertos","25/04/2014","19:00:00","Choque","KM 8 Antigua Via al Mar Estadera Los Hamacas","M","44","Peatón","Abr","Vie",25,"19","40 - 49",2014,20757,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"9780","Muertos","26/04/2014","05:43:00","Atropello","CL 2 Sur CR 67 - 250","F","62","Peatón","Abr","Sáb",26,"5","60 - 69",2014,20829,"6,209438489","-75,59389259","15 - Guayabal","Parque Juan Pablo II"
"9859","Muertos","27/04/2014","01:03:00","Atropello","CL 33 CR 76","M","33","Peatón","Abr","Dom",27,"1","30 - 39",2014,20841,"6,239001258","-75,5967033","11 - Laureles Estadio","Laureles"
"9870","Muertos","27/04/2014","09:30:00","Atropello","CR 42B CL 108A 32","F","69","Peatón","Abr","Dom",27,"9","70 - 79",2014,20883,"6,297699346","-75,54701179","01 - Popular","Santo Domingo Savio No. 1"
"9956","Muertos","28/04/2014","11:40:00","Choque","Cl 33 CR 78","F","45","Acompañante de Motocicleta","Abr","Lun",28,"11","40 - 49",2014,21049,"6,238940856","-75,59834707","11 - Laureles Estadio","Las Acacias"
"10028","Muertos","29/04/2014","09:00:00","Caida Ocupante","CR 49 CL 24 - 25","M","24","Motociclista","Abr","Mar",29,"9","20 - 29",2014,21398,"6,225899187","-75,57595884","14 - El Poblado","Barrio Colombia"
"10278","Muertos","2/05/2014","11:30:00","Atropello","CR 40 CL 49A","F","65","Peatón","May","Vie",2,"11","60 - 69",2014,21926,"6,245662957","-75,56063537","10 - La Candelaria","Boston"
"10543","Muertos","5/05/2014","08:40:00","Atropello","CL 44 CR 75 - 13","M","68","Peatón","May","Lun",5,"8","60 - 69",2014,22274,"6,249953653","-75,59455189","11 - Laureles Estadio","El Velódromo"
"10548","Muertos","5/05/2014","10:45:00","Choque","VIA PALMAS KM 8 + 200","F","32","Conductor","May","Lun",5,"10","30 - 39",2014,22223,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"10863","Muertos","8/05/2014","23:00:00","Atropello","Perpetuo Socorro","M","71","Peatón","May","Jue",8,"23","70 - 79",2014,22939,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"10864","Muertos","8/05/2014","23:30:00","Choque","CL 58 CR 58","M","41","Motociclista","May","Jue",8,"23","40 - 49",2014,22936,"6,258269603","-75,57181765","10 - La Candelaria","El Chagualo"
"10867","Muertos","9/05/2014","05:10:00","Choque","CL 62D CR 110 - 339","M","32","Motociclista","May","Vie",9,"5","30 - 39",2014,22940,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"11131","Muertos","12/05/2014","07:20:00","Choque","CL 44 CR 67 Y 68","M","21","Motociclista","May","Lun",12,"7","20 - 29",2014,23464,"6,248741985","-75,58425511","11 - Laureles Estadio","Naranjal"
"11436","Muertos","15/05/2014","20:17:00","Caida Ocupante","CR 80 CL 98","F","42","Pasajero","May","Jue",15,"20","40 - 49",2014,24211,"6,296905846","-75,58054072","06 - Doce de Octubre","San Martín de Porres"
"11553","Muertos","17/05/2014","12:12:00","Atropello","CR 62 CL 56","M","60","Peatón","May","Sáb",17,"12","60 - 69",2014,24589,"6,173812503","-75,64389092","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"11607","Muertos","17/05/2014","21:12:00","Atropello","CR 62 entre CL 56 y 57","M","71","Peatón","May","Sáb",17,"21","70 - 79",2014,24584,"6,174669076","-75,64337038","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"11643","Muertos","18/05/2014","12:40:00","Otro","San Cristobal Vereda La Palma","M","44","Conductor","May","Dom",18,"12","40 - 49",2014,24643,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"12350","Muertos","26/05/2014","08:00:00","Caida Ocupante","CR 52 CL 10 - 184","M","26","Motociclista","May","Lun",26,"8","20 - 29",2014,25967,"6,216018709","-75,58095025","15 - Guayabal","Campo Amor"
"12368","Muertos","26/05/2014","12:20:00","Atropello","Cl 67 entre Cr 63 y 64","M","65","Peatón","May","Lun",26,"12","60 - 69",2014,26204,"6,265319895","-75,57263989","05 - Castilla","Caribe"
"12421","Muertos","27/05/2014","08:42:00","Atropello","Cr 64 Cl 74-76","M","35","Peatón","May","Mar",27,"8","30 - 39",2014,26236,"6,272575405","-75,57335582","05 - Castilla","Caribe"
"12614","Muertos","29/05/2014","15:00:00","Atropello","CL 57 CR 55","M","76","Peatón","May","Jue",29,"15","70 - 79",2014,35144,"6,256660512","-75,56971711","10 - La Candelaria","Estación Villa"
"12714","Muertos","30/05/2014","17:20:00","Atropello","CR 63 CL 101 C - 55","M","73","Peatón","May","Vie",30,"17","70 - 79",2014,1443219,"6,293680803","-75,56357221","05 - Castilla","Belalcázar"
"12895","Muertos","1/06/2014","17:00:00","Atropello","Cr 83 Cl 41Sur-48 San Antonio de Prado","M","27","Peatón","Jun","Dom",1,"17","20 - 29",2014,27280,"6,185429388","-75,6592172","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"12999","Muertos","3/06/2014","05:40:00","Atropello","CL 49 CR 45 - 81","M","58","Peatón","Jun","Mar",3,"5","50 - 59",2014,28040,"6,247042099","-75,56484012","10 - La Candelaria","La Candelaria"
"13122","Muertos","4/06/2014","01:41:00","Atropello","CR 46 CL 46","M","57","Peatón","Jun","Mié",4,"1","50 - 59",2014,35232,"6,245635938","-75,56723493","10 - La Candelaria","Barrio Colón"
"13211","Muertos","5/06/2014","06:40:00","Atropello","CL 50 CR 30 - 40","M","11","Peatón","Jun","Jue",5,"6","10 - 19",2014,27757,"6,241702653","-75,5528292","09 - Buenos Aires","Barrio Caicedo"
"13319","Muertos","6/06/2014","08:00:00","Atropello","CR 62 CL 46","F","56","Peatón","Jun","Vie",6,"8","50 - 59",2014,27949,"6,250338162","-75,57887095","10 - La Candelaria","Corazón de Jesús"
"13524","Muertos","8/06/2014","11:30:00","Atropello","CL 33 CR 74E 90","F","73","Peatón","Jun","Dom",8,"11","70 - 79",2014,28174,"6,233720014","-75,59630079","16 - Belén","Belén"
"13865","Muertos","11/06/2014","20:36:00","Atropello","CR 62 CL 48","M","45","Peatón","Jun","Mié",11,"20","40 - 49",2014,29274,"6,177262007","-75,64319236","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"13866","Muertos","11/06/2014","20:36:00","Atropello","CR 45 CL 44","M","82","Peatón","Jun","Mié",11,"20","80 o más",2014,29339,"6,243578594","-75,56759204","10 - La Candelaria","Barrio Colón"
