id_pedido	fecha	dia_semana	punto_venta	turno	tipo_pizza	tiempo_preparacion	tiempo_entrega	temperatura_salida	errores_pedido	satisfaccion_cliente
P00056	2025-05-10	sábado	A	Tarde	Pepperoni	11.2	26.3	208.8	0	Bueno
P00057	2025-04-27	domingo	A	Noche	Vegetariana	11.5	26.7	209.4	0	Bueno
P00058	2025-12-20	sábado	A	Tarde	Pepperoni	11.7	25.4	211.2	0	Bueno
P00059	2025-03-04	martes	A	Tarde	Pepperoni	12.5	23.2	211.6	0	Bueno
P00060	2025-05-23	viernes	A	Tarde	Vegetariana	10.5	20.3	205.2	0	Bueno
P00061	2025-05-04	domingo	A	Tarde	Pollo BBQ	12.7	27.6	222.3	0	Bueno
P00062	2025-08-28	jueves	A	Tarde	Pollo BBQ	13.9	22.9	206	0	Bueno
P00063	2025-11-09	domingo	B	Noche	Pepperoni	10.3	12	204.7	0	Regular
P00064	2025-10-10	viernes	A	Noche	Hawaiana	18	34.7	209.9	1	Regular
P00065	2025-10-17	viernes	A	Tarde	Hawaiana	21	35	213.3	0	Regular
P00066	2025-05-24	sábado	A	Noche	Pollo BBQ	22	32	221.8	0	Regular
P00067	2025-08-26	martes	A	Tarde	Hawaiana	18	28	228	0	Bueno
P00068	2025-11-02	domingo	A	Noche	Pollo BBQ	11.5	25	213.5	0	Bueno
P00069	2025-11-28	viernes	A	Noche	Vegetariana	14.4	27	210.2	0	Bueno
P00070	2025-10-18	sábado	B	Mañana	Vegetariana	13.7	28	203.4	0	Bueno
P00071	2025-03-01	sábado	A	Tarde	Hawaiana	12.7	31.4	214.1	0	Bueno
P00072	2025-01-29	miércoles	A	Tarde	Hawaiana	23	35	218.1	0	Regular
P00073	2025-12-09	martes	A	Noche	Vegetariana	13.6	23.2	211	1	Bueno
P00074	2025-04-13	domingo	B	Tarde	Hawaiana	9.5	25	213.2	0	Bueno
P00075	2025-11-11	martes	A	Mañana	Hawaiana	11.5	29.1	215.6	1	Bueno
P00076	2025-04-13	domingo	B	Noche	Hawaiana	11.4	23	230.6	1	Bueno
P00077	2025-10-03	viernes	A	Tarde	Hawaiana	24	32.1	218.9	0	Regular
P00078	2025-06-07	sábado	A	Tarde	Pollo BBQ	15.2	30.4	202.5	0	Bueno
P00079	2025-09-19	viernes	A	Tarde	Hawaiana	12.7	27.5	216.7	0	Bueno
P00080	2025-11-02	domingo	A	Noche	Hawaiana	16	30	200	0	Regular
P00081	2025-11-28	viernes	A	Tarde	Pollo BBQ	13.1	34.8	212.7	1	Bueno
P00082	2025-08-10	domingo	B	Noche	Hawaiana	15	19	208.7	0	Bueno
P00083	2025-06-26	jueves	B	Noche	Hawaiana	9.7	15	203.4	1	Bueno
P00084	2025-07-30	miércoles	A	Noche	Pepperoni	9.4	24.3	212.5	0	Bueno
P00085	2025-06-03	martes	A	Noche	Pollo BBQ	15	31	198	0	Regular
P00086	2025-10-28	martes	A	Noche	Pollo BBQ	13.5	22.1	213.2	0	Bueno
P00087	2025-08-24	domingo	A	Tarde	Pollo BBQ	14	29	206	0	Regular
P00088	2025-05-17	sábado	A	Noche	Pollo BBQ	17	31.1	226	0	Regular
P00089	2025-09-12	viernes	A	Tarde	Pepperoni	13	35	216.5	0	Regular
P00090	2025-11-23	domingo	A	Noche	Vegetariana	12.3	29.6	207.5	0	Bueno
P00091	2025-09-24	miércoles	A	Tarde	Pollo BBQ	11.5	20.8	203.9	0	Bueno
P00092	2025-04-28	lunes	A	Tarde	Vegetariana	12.2	28.1	216.1	0	Bueno
P00093	2025-11-25	martes	A	Noche	Vegetariana	13.6	25.4	218.9	0	Bueno
P00094	2025-07-05	sábado	A	Noche	Pollo BBQ	10.4	24	211.1	0	Bueno
P00095	2025-09-07	domingo	A	Noche	Hawaiana	11.7	25.5	214.9	0	Bueno
P00096	2025-06-06	viernes	A	Tarde	Vegetariana	16	29	207.4	0	Regular
P00097	2025-04-19	sábado	B	Tarde	Pollo BBQ	11.3	28	203.1	0	Bueno
P00098	2025-08-22	viernes	B	Tarde	Pepperoni	12	24	214.2	0	Bueno
P00099	2025-12-16	martes	A	Tarde	Hawaiana	12.7	26.9	208.3	0	Bueno
P00100	2025-04-15	martes	B	Noche	Vegetariana	9.1	18	210.5	1	Bueno
P00101	2025-10-15	miércoles	A	Mañana	Hawaiana	15.2	34.7	202.5	1	Bueno
P00102	2025-07-26	sábado	A	Noche	Hawaiana	11	21.6	207.4	0	Bueno
P00103	2025-06-20	viernes	A	Tarde	Vegetariana	11.3	29.9	210.9	1	Bueno
P00104	2025-02-02	domingo	A	Noche	Hawaiana	19	31.7	213.2	0	Regular
P00105	2025-02-09	domingo	A	Noche	Pepperoni	11.3	26.1	206.9	0	Bueno
P00106	2025-09-16	martes	A	Tarde	Pollo BBQ	12.2	25.6	215.1	0	Bueno
P00107	2025-12-16	martes	A	Tarde	Pepperoni	11.9	25.5	202.1	0	Bueno
P00108	2025-12-14	domingo	A	Tarde	Pepperoni	12	41.8	207.5	0	Malo
P00109	2025-10-05	domingo	A	Tarde	Pepperoni	11	42.6	205.4	0	Malo
P00110	2025-11-11	martes	A	Mañana	Hawaiana	13.4	28	213.6	1	Bueno
P00111	2025-08-08	viernes	B	Tarde	Vegetariana	8.6	21	222.4	0	Bueno
P00112	2025-03-19	miércoles	A	Noche	Vegetariana	19	28.8	207	0	Regular
P00113	2025-11-16	domingo	A	Noche	Hawaiana	18	26.4	218.7	0	Regular
P00114	2025-07-13	domingo	A	Tarde	Hawaiana	13.8	29.2	225	0	Bueno
P00115	2025-02-14	viernes	A	Noche	Vegetariana	15	35	217.4	0	Regular
P00116	2025-10-26	domingo	A	Tarde	Pepperoni	11.1	22.3	208.8	0	Bueno
P00117	2025-12-15	lunes	A	Noche	Pepperoni	13.2	21.9	207.7	0	Bueno
P00118	2025-07-01	martes	A	Noche	Pepperoni	14.4	28	203.3	1	Bueno
P00119	2025-03-28	viernes	A	Noche	Hawaiana	11.2	20.8	215.1	0	Bueno
P00120	2025-12-21	domingo	A	Tarde	Pepperoni	19	34	207.1	0	Regular
P00121	2025-04-06	domingo	A	Noche	Hawaiana	16.5	21.4	205.6	0	Bueno
P00122	2025-05-03	sábado	A	Tarde	Hawaiana	7.6	25.8	218.2	1	Bueno
P00123	2025-02-11	martes	A	Noche	Vegetariana	17	39	207.2	0	Malo
P00124	2025-09-27	sábado	A	Tarde	Pepperoni	12.2	20.9	215.3	0	Bueno
P00125	2025-07-01	martes	A	Noche	Hawaiana	11.4	21.1	206	2	Bueno
P00126	2025-12-15	lunes	A	Tarde	Vegetariana	11.5	32.6	212.4	0	Bueno
P00127	2025-04-06	domingo	A	Tarde	Pollo BBQ	14.7	30.1	212	0	Regular
P00128	2025-01-12	domingo	A	Tarde	Pepperoni	18	27.6	208.4	0	Regular
P00129	2025-02-16	domingo	A	Tarde	Vegetariana	15.9	22.3	220.2	0	Regular
P00130	2025-09-07	domingo	A	Tarde	Hawaiana	13.9	19.4	210.8	0	Bueno
P00131	2025-05-22	jueves	B	Tarde	Pollo BBQ	14.1	28	216.6	0	Bueno
P00132	2025-08-02	sábado	A	Tarde	Hawaiana	12.8	29.1	201.3	0	Bueno
P00133	2025-05-13	martes	A	Mañana	Vegetariana	11.7	24.4	210.3	0	Regular
P00134	2025-07-29	martes	A	Noche	Pollo BBQ	18	26.9	202.2	0	Regular
P00135	2025-05-09	viernes	A	Tarde	Hawaiana	12.9	32.2	203.8	0	Bueno
P00136	2025-08-18	lunes	A	Tarde	Pepperoni	12.9	40.2	202.9	0	Bueno
P00137	2025-03-07	viernes	B	Noche	Vegetariana	11.5	22.3	209.8	0	Bueno
P00138	2025-12-16	martes	A	Noche	Hawaiana	9.8	24.6	209.1	0	Bueno
P00139	2025-03-30	domingo	A	Noche	Vegetariana	15	22.4	203	0	Regular
P00140	2025-12-01	lunes	A	Tarde	Hawaiana	10.9	23.2	216.1	0	Bueno
P00141	2025-03-16	domingo	A	Mañana	Vegetariana	13.5	29	210.1	0	Bueno
P00142	2025-07-11	viernes	A	Tarde	Pepperoni	16.7	27.9	210.7	0	Bueno
P00143	2025-03-09	domingo	B	Tarde	Pepperoni	10.7	30.3	190.3	0	Bueno
P00144	2025-06-26	jueves	A	Mañana	Vegetariana	8.9	21.6	213.8	0	Bueno
P00145	2025-05-26	lunes	A	Tarde	Hawaiana	9.9	16.6	203.9	0	Bueno
P00146	2025-07-06	domingo	A	Noche	Pollo BBQ	15	27	204.6	1	Regular
P00147	2025-04-13	domingo	A	Tarde	Hawaiana	12.3	30.1	202.6	0	Bueno
P00148	2025-01-14	martes	A	Noche	Hawaiana	21	37	206.9	1	Malo
P00149	2025-01-13	lunes	A	Noche	Pepperoni	11.5	26.6	212.4	0	Bueno
P00150	2025-11-15	sábado	A	Noche	Hawaiana	12.3	26.9	211.3	0	Bueno
P00151	2025-01-03	viernes	A	Noche	Hawaiana	14.2	30.1	198.1	0	Bueno
P00152	2025-11-23	domingo	A	Tarde	Vegetariana	18	27	200.1	1	Regular
P00153	2025-03-11	martes	A	Mañana	Pollo BBQ	13.4	30.7	203.8	1	Bueno
P00154	2025-03-03	lunes	A	Noche	Pollo BBQ	13.3	33.3	201.5	0	Bueno
P00155	2025-09-24	miércoles	A	Tarde	Vegetariana	13.7	33.4	210.5	0	Bueno
P00156	2025-11-10	lunes	B	Noche	Pollo BBQ	10.8	28.3	218.7	0	Regular
P00157	2025-01-05	domingo	A	Noche	Vegetariana	13.3	21.8	205.3	0	Bueno
P00158	2025-05-04	domingo	A	Tarde	Pollo BBQ	20	27	203.1	0	Regular
P00159	2025-08-31	domingo	A	Tarde	Hawaiana	10.9	22.5	209.5	0	Bueno
P00160	2025-09-13	sábado	A	Noche	Pollo BBQ	18.4	33.2	212.3	1	Bueno
P00161	2025-07-27	domingo	A	Mañana	Vegetariana	21	34.1	208.2	0	Malo
P00162	2025-03-01	sábado	A	Mañana	Hawaiana	19	39.5	212.6	0	Malo
P00163	2025-12-16	martes	A	Noche	Hawaiana	11.9	27.1	223.1	0	Bueno
P00164	2025-08-26	martes	A	Noche	Vegetariana	12.6	19.1	207.6	0	Bueno
P00165	2025-11-14	viernes	A	Tarde	Pepperoni	11.3	26.3	209.4	0	Bueno
P00166	2025-11-30	domingo	A	Tarde	Vegetariana	21	31.7	201.2	1	Malo
P00167	2025-01-05	domingo	B	Tarde	Vegetariana	14	26.2	212.9	1	Bueno
P00168	2025-04-13	domingo	A	Tarde	Vegetariana	16.1	31.9	217.4	0	Bueno
P00169	2025-08-23	sábado	A	Tarde	Pollo BBQ	10.9	29.9	213	0	Regular
P00170	2025-12-13	sábado	A	Noche	Pepperoni	11.8	17.5	202.3	0	Bueno
P00171	2025-10-04	sábado	A	Noche	Pepperoni	13.3	24.9	210.5	0	Regular
P00172	2025-05-04	domingo	A	Tarde	Hawaiana	15.8	32.2	206.6	0	Bueno
P00173	2025-05-30	viernes	A	Noche	Vegetariana	13	31.2	211.3	0	Malo
P00174	2025-03-31	lunes	A	Noche	Hawaiana	12.2	21.5	218.1	0	Bueno
P00175	2025-09-11	jueves	A	Tarde	Hawaiana	12.1	27.1	200.7	0	Bueno
P00176	2025-12-25	jueves	A	Noche	Hawaiana	10.4	29.5	227.8	0	Bueno
P00177	2025-06-29	domingo	A	Noche	Hawaiana	11.4	35	208.4	0	Bueno
P00178	2025-10-10	viernes	A	Noche	Vegetariana	12.7	28.7	206.6	0	Bueno
P00179	2025-08-09	sábado	A	Tarde	Vegetariana	11	26.2	214.4	0	Bueno
P00180	2025-10-28	martes	A	Tarde	Vegetariana	10.1	31.6	202.3	1	Malo
P00181	2025-01-14	martes	A	Tarde	Hawaiana	10.4	17.1	217.3	0	Bueno
P00182	2025-03-25	martes	A	Noche	Hawaiana	11.6	21.1	210	1	Bueno
P00183	2025-07-10	jueves	A	Mañana	Vegetariana	12.6	18.1	220.6	0	Bueno
P00184	2025-10-27	lunes	A	Noche	Pollo BBQ	12.7	27.5	200.1	1	Regular
P00185	2025-03-12	miércoles	A	Tarde	Vegetariana	13.3	31.6	206.2	0	Malo
P00186	2025-05-03	sábado	A	Tarde	Pollo BBQ	14.6	25.2	208.6	0	Regular
P00187	2025-09-03	miércoles	A	Tarde	Hawaiana	9.1	25.1	214.4	0	Bueno
P00188	2025-12-28	domingo	A	Tarde	Hawaiana	10	30.9	198.9	0	Regular
P00189	2025-07-05	sábado	A	Tarde	Hawaiana	11.8	24.1	205.3	0	Bueno
P00190	2025-07-18	viernes	A	Noche	Vegetariana	12.5	25.5	210.8	1	Bueno
P00191	2025-07-19	sábado	A	Noche	Pollo BBQ	14.2	39.9	200.5	0	Regular
P00192	2025-05-26	lunes	B	Tarde	Vegetariana	7.8	21.9	212.4	0	Bueno
P00193	2025-10-18	sábado	A	Tarde	Pepperoni	13.9	32.5	209.9	0	Regular
P00194	2025-05-12	lunes	A	Noche	Pollo BBQ	11.4	29.5	211.4	1	Regular
P00195	2025-08-29	viernes	A	Noche	Vegetariana	15.9	23.4	218.7	0	Bueno
P00196	2025-06-06	viernes	A	Tarde	Pepperoni	13.4	30.3	216.6	0	Bueno
P00197	2025-12-09	martes	A	Tarde	Hawaiana	12	24	218.4	0	Bueno
P00198	2025-06-10	martes	A	Mañana	Hawaiana	11.5	30	216.5	0	Regular
P00199	2025-11-17	lunes	A	Tarde	Pepperoni	14.6	32.7	209.4	0	Bueno
P00200	2025-02-16	domingo	A	Tarde	Vegetariana	13.6	28.6	216.3	1	Regular
P00201	2025-07-29	martes	A	Noche	Vegetariana	11.7	24.5	218.2	0	Regular
P00202	2025-03-11	martes	A	Mañana	Pollo BBQ	10.9	26.9	209.9	0	Bueno
P00203	2025-12-14	domingo	A	Tarde	Pepperoni	15.3	33.2	217.4	1	Regular
P00204	2025-06-21	sábado	B	Noche	Pepperoni	13.3	26	199.5	1	Bueno
P00205	2025-07-16	miércoles	A	Tarde	Vegetariana	11.9	22.9	214	0	Regular
P00206	2025-09-03	miércoles	A	Mañana	Hawaiana	14	24	198.6	0	Regular
P00207	2025-12-18	jueves	A	Tarde	Pepperoni	12.6	26.7	208.1	0	Bueno
P00208	2025-07-09	miércoles	B	Mañana	Pollo BBQ	13.2	25	205.4	0	Regular
P00209	2025-08-25	lunes	A	Noche	Hawaiana	12.1	27.4	209.6	0	Bueno
P00210	2025-08-22	viernes	A	Noche	Pepperoni	10.8	29.7	208.9	0	Bueno
P00211	2025-06-25	miércoles	A	Mañana	Hawaiana	12.1	31.5	202.1	2	Bueno
P00212	2025-11-11	martes	A	Noche	Hawaiana	14.7	31.7	206.9	0	Bueno
P00213	2025-09-16	martes	A	Mañana	Hawaiana	14.1	25.7	207.3	0	Bueno
P00214	2025-05-10	sábado	A	Noche	Pepperoni	15.5	33.7	199.7	0	Bueno
P00215	2025-12-24	miércoles	A	Noche	Pollo BBQ	12.4	25.3	199.7	0	Bueno
P00216	2025-11-26	miércoles	A	Tarde	Pepperoni	11.7	35	205.9	0	Bueno
P00217	2025-11-13	jueves	A	Noche	Pollo BBQ	16.3	39.9	207.1	1	Malo
P00218	2025-10-21	martes	A	Mañana	Pepperoni	13.7	27.5	215.9	0	Bueno
P00219	2025-08-03	domingo	A	Tarde	Vegetariana	9.9	21.9	212.1	0	Bueno
P00220	2025-01-11	sábado	A	Noche	Vegetariana	12.2	24.4	205.2	0	Bueno
P00221	2025-04-06	domingo	A	Noche	Vegetariana	7.1	13.1	226.1	0	Bueno
P00222	2025-09-28	domingo	A	Tarde	Pollo BBQ	14.2	36.5	225.7	0	Regular
P00223	2025-05-11	domingo	A	Noche	Pollo BBQ	10.8	23.8	196.6	0	Bueno
P00224	2025-07-20	domingo	A	Tarde	Pepperoni	12.6	23.1	202.4	2	Malo
P00225	2025-09-11	jueves	A	Tarde	Pollo BBQ	17.2	32.7	200.1	0	Malo
P00226	2025-06-08	domingo	A	Tarde	Pepperoni	9.3	22.3	207.7	0	Bueno
P00227	2025-12-13	sábado	A	Mañana	Vegetariana	13.2	24.4	214.9	0	Bueno
P00228	2025-10-24	viernes	A	Tarde	Vegetariana	13.6	26.7	217.4	0	Regular
P00229	2025-05-02	viernes	A	Noche	Vegetariana	14.8	34	213.8	0	Bueno
P00230	2025-09-12	viernes	A	Noche	Pollo BBQ	10.1	25.9	195.2	0	Bueno
P00231	2025-02-02	domingo	A	Tarde	Pollo BBQ	14.8	33.9	205.1	0	Regular
P00232	2025-01-17	viernes	A	Tarde	Pepperoni	12.3	30.9	211.4	0	Regular
P00233	2025-06-10	martes	A	Noche	Hawaiana	14.3	14.7	208.1	0	Bueno
P00234	2025-08-30	sábado	A	Noche	Hawaiana	12.6	25.2	214.7	0	Regular
P00235	2025-05-11	domingo	A	Noche	Vegetariana	14.9	29.5	222.3	1	Bueno
P00236	2025-04-04	viernes	A	Tarde	Pepperoni	11.8	33.3	205.6	0	Bueno
P00237	2025-10-20	lunes	A	Tarde	Vegetariana	12.9	30.3	208.6	2	Bueno
P00238	2025-11-28	viernes	A	Tarde	Pollo BBQ	7.4	25.2	213.9	0	Bueno
P00239	2025-01-01	miércoles	A	Noche	Vegetariana	17.3	32.5	203.6	0	Regular
P00240	2025-08-06	miércoles	B	Tarde	Vegetariana	11.2	32	208.3	1	Regular
P00241	2025-10-13	lunes	A	Noche	Pepperoni	12.4	22.9	223.6	0	Bueno
P00242	2025-05-11	domingo	A	Tarde	Hawaiana	14.9	31.4	198.9	0	Bueno
P00243	2025-02-09	domingo	A	Tarde	Pepperoni	12.9	32.3	210.2	0	Regular
P00244	2025-06-14	sábado	A	Noche	Vegetariana	10.4	29.2	214.6	2	Regular
P00245	2025-08-17	domingo	A	Tarde	Pollo BBQ	14.4	36.1	217.4	0	Bueno
P00246	2025-02-11	martes	A	Noche	Pollo BBQ	10	30.8	208.5	0	Regular
P00247	2025-08-26	martes	A	Mañana	Pollo BBQ	11.6	26.4	203.8	0	Bueno
P00248	2025-09-23	martes	A	Tarde	Vegetariana	12	16.8	208.5	0	Bueno
P00249	2025-05-11	domingo	A	Noche	Hawaiana	8.3	21.9	197.9	1	Regular
P00250	2025-05-30	viernes	A	Noche	Hawaiana	13	31.4	214.3	0	Bueno
P00251	2025-07-12	sábado	A	Tarde	Vegetariana	12.4	26.7	214	0	Bueno
P00252	2025-09-12	viernes	A	Tarde	Pollo BBQ	11.6	23.5	197.6	0	Bueno
P00253	2025-01-25	sábado	B	Mañana	Vegetariana	10.4	25	210.9	0	Regular
P00254	2025-12-02	martes	A	Tarde	Vegetariana	9.4	16.6	220.8	0	Bueno
P00255	2025-12-28	domingo	A	Mañana	Pepperoni	10.4	25.3	212.1	0	Bueno
P00256	2025-10-28	martes	A	Tarde	Vegetariana	11.7	22.1	208.6	0	Bueno
P00257	2025-12-31	miércoles	A	Tarde	Hawaiana	15.2	23.7	211.2	0	Bueno
P00258	2025-12-16	martes	B	Tarde	Pollo BBQ	13.2	25	205.5	1	Bueno
P00259	2025-09-07	domingo	A	Tarde	Pollo BBQ	13.1	26.8	216.4	0	Bueno
P00260	2025-08-28	jueves	A	Noche	Vegetariana	10.8	26.5	210.4	0	Regular
P00261	2025-07-25	viernes	A	Tarde	Hawaiana	13.9	34.1	213.1	0	Bueno
P00262	2025-03-26	miércoles	A	Mañana	Hawaiana	13	27.5	214.4	0	Bueno
P00263	2025-05-24	sábado	A	Noche	Vegetariana	13.9	30.9	214.1	0	Bueno
P00264	2025-10-11	sábado	A	Noche	Hawaiana	11.8	27.4	200.3	0	Bueno
P00265	2025-06-08	domingo	A	Tarde	Vegetariana	13.1	28	204.5	1	Bueno
P00266	2025-01-21	martes	A	Tarde	Hawaiana	11.2	28.4	223.3	0	Bueno
P00267	2025-04-02	miércoles	A	Tarde	Vegetariana	9.5	17.3	202.8	0	Bueno
P00268	2025-05-04	domingo	B	Tarde	Vegetariana	15.5	24	218.6	0	Regular
P00269	2025-12-09	martes	A	Tarde	Vegetariana	12.1	31.6	201	0	Malo
P00270	2025-04-05	sábado	A	Noche	Pepperoni	12.9	25.8	219	1	Regular
P00271	2025-11-23	domingo	A	Tarde	Pepperoni	15.7	28.5	194.3	2	Bueno
P00272	2025-12-05	viernes	A	Noche	Hawaiana	12.4	24.2	221	0	Bueno
P00273	2025-04-15	martes	A	Tarde	Pepperoni	13.7	24.8	216.5	0	Regular
P00274	2025-06-27	viernes	B	Noche	Vegetariana	11.9	26	198.6	0	Regular
P00275	2025-04-01	martes	A	Mañana	Hawaiana	13.6	30.2	204.8	1	Regular
P00276	2025-10-12	domingo	A	Noche	Pepperoni	10.4	22.8	220.4	1	Regular
P00277	2025-05-17	sábado	A	Tarde	Pollo BBQ	10.3	24.8	221.2	0	Regular
P00278	2025-09-07	domingo	A	Tarde	Hawaiana	12.1	19.9	214.2	0	Bueno
P00279	2025-09-20	sábado	A	Noche	Pepperoni	14.2	27.3	207.5	0	Bueno
P00280	2025-04-19	sábado	B	Noche	Hawaiana	11.5	20.8	208.6	1	Bueno
P00281	2025-04-25	viernes	A	Tarde	Pollo BBQ	9	24.2	203.4	0	Bueno
P00282	2025-04-25	viernes	A	Noche	Hawaiana	12.9	21.1	202.6	0	Regular
P00283	2025-05-01	jueves	A	Noche	Pollo BBQ	15.8	31.8	193	0	Bueno
P00284	2025-10-11	sábado	B	Noche	Pollo BBQ	14	22	211.8	0	Bueno
P00285	2025-03-11	martes	A	Tarde	Pollo BBQ	10.9	29.2	202.2	1	Bueno
P00286	2025-04-13	domingo	A	Tarde	Vegetariana	14	29.5	219.3	0	Bueno
P00287	2025-08-23	sábado	A	Tarde	Pepperoni	12	23.3	191.7	0	Bueno
P00288	2025-02-21	viernes	A	Tarde	Vegetariana	12.6	26.7	209.8	0	Regular
P00289	2025-05-04	domingo	A	Tarde	Hawaiana	10.3	30.2	223.1	1	Bueno
P00290	2025-06-12	jueves	A	Mañana	Vegetariana	14.2	28.1	208.7	0	Bueno
P00291	2025-08-06	miércoles	B	Noche	Hawaiana	8.5	20	199.7	0	Regular
P00292	2025-05-20	martes	A	Noche	Pollo BBQ	10.3	18.2	205.9	0	Bueno
P00293	2025-01-19	domingo	A	Noche	Pepperoni	11.6	34.1	206.6	0	Bueno
P00294	2025-04-22	martes	A	Mañana	Hawaiana	13.1	25.1	203.2	0	Bueno
P00295	2025-06-01	domingo	A	Noche	Pepperoni	12.7	26.2	217.3	0	Bueno
P00296	2025-01-20	lunes	A	Noche	Vegetariana	12.8	22.6	209.9	0	Bueno
P00297	2025-07-27	domingo	A	Noche	Pepperoni	11.7	27.4	216.1	1	Bueno
